Player,Age,Pos,Squad,Nation,std_MP,std_Min,pass_Cmp%,pass_PrgDist,pass_KP,pass_1/3,pass_PPA,pass_PrgP,passt_TB,passt_Sw,passt_Crs,gca_PassLive,gca_PassDead,poss_Carries,poss_PrgDist,poss_PrgC,poss_1/3,poss_CPA,gca_TO,gca_Sh,gca_Fld,def_Tkl,def_TklW,def_Int,def_Tkl+Int,def_Blocks,def_Pass,def_Def 3rd,def_Mid 3rd,def_Att 3rd,misc_TklW,misc_Recov,misc_Won,misc_Lost,misc_Fls,misc_Fld,poss_Mis,poss_Dis,def_Lost,std_Gls,std_Ast,std_xG,std_xAG,std_PrgR,shoot_Sh,std_CrdY,std_CrdR,std_90s,pt_Min%,pt_Mn/MP,Cluster,Archetype,Archetype_Score,Anchor_Score,DLP_Score,BallWinner_Score,BoxToBox_Score,APM_Score,CAM_Score,BoxCrasher_Score,Primary_Archetype,Secondary_Archetype,Overall_Rating
Ezequiel Bullaude,23.0,MF,Fortuna Sittard,ar ARG,28.0,2058.0,12,6,18,13,8,19,6,12,5,24,0,21,17,11,19,6,0,40,33,21,22,25,24,27,33,20,18,62,22,46,30,75,67,54,81,56,79,25,9,40,27,32,42,25,0,62,62,70,1,BoxCrasher,76,50,19,63,46,33,40,76,BoxCrasher,,33.2
Gjivai Zechiël,20.0,MF,Sparta R'dam,nl NED,13.0,1025.0,79,13,20,19,25,21,18,6,0,22,5,17,25,16,21,10,25,0,11,14,8,20,16,24,15,16,20,19,8,21,5,11,30,28,12,10,3,8,9,11,18,7,15,38,0,17,17,80,1,CAM/BoxCrasher,44,35,34,32,30,34,44,41,CAM,BoxCrasher,25.3
Ismael Saibari,23.0,MF,PSV Eindhoven,ma MAR,29.0,1782.0,80,22,70,41,58,61,41,6,12,97,0,51,80,65,66,58,67,100,22,27,19,20,26,27,31,25,28,50,19,35,8,17,42,37,66,48,32,46,100,74,61,87,97,25,0,50,50,44,0,BoxCrasher,97,51,60,53,78,89,87,97,BoxCrasher,,82.5
Jakob Breum,20.0,MF,Go Ahead Eag,dk DEN,26.0,2059.0,20,51,75,48,79,70,100,41,73,82,100,55,54,37,45,28,33,53,44,11,8,11,11,38,33,14,12,31,8,53,3,29,12,57,49,56,41,42,45,41,65,65,67,50,0,62,62,80,0,BoxCrasher/APM,91,39,64,27,64,88,83,91,BoxCrasher,APM,69.8
Jan Žambůrek,23.0,MF,Heracles Almelo,cz CZE,20.0,935.0,30,12,12,22,10,5,0,18,28,9,23,10,10,6,7,0,0,0,0,17,9,27,21,22,26,25,18,12,9,7,4,16,30,17,10,10,12,0,9,0,15,4,0,38,0,13,13,16,1,Anchor/BallWinner,40,40,28,36,15,21,14,7,Anchor,BallWinner,11.5
Jochem van de Kamp,20.0,MF,Almere City,nl NED,26.0,2001.0,59,17,30,28,38,36,0,0,5,41,5,27,23,13,18,10,17,13,44,39,34,66,50,42,41,29,52,38,34,42,19,52,40,48,15,23,29,0,9,6,18,21,16,62,0,59,59,76,1,BallWinner,76,68,38,76,54,46,43,32,BallWinner,,44.5
Johan Hove,23.0,MF,Groningen,no NOR,20.0,1748.0,69,37,18,68,29,53,6,59,22,34,9,33,18,6,9,6,17,7,22,15,11,34,21,31,31,16,24,12,11,22,14,33,16,26,15,15,6,0,0,9,18,14,34,0,0,48,48,96,1,DLP,70,44,70,39,31,39,34,38,DLP,,37.1
Jorg Schreuders,19.0,MF,Groningen,nl NED,32.0,1940.0,45,9,34,14,54,26,18,18,14,57,0,31,40,37,32,32,25,7,11,23,23,14,21,36,49,14,38,31,23,26,2,30,33,35,42,46,29,21,9,15,34,70,22,25,0,57,57,44,1,CAM/BoxToBox,68,44,26,42,64,60,68,59,CAM,BoxToBox,45.0
Joshua Kitolano,22.0,MF,Sparta R'dam,no NOR,27.0,1582.0,61,22,32,29,31,31,12,6,10,40,0,26,30,15,32,6,25,20,22,18,19,23,21,31,28,20,28,12,19,33,11,38,23,37,23,21,38,0,18,13,21,20,27,25,0,41,41,40,1,CAM/Anchor,53,51,41,44,48,51,53,44,CAM,Anchor,37.2
Julian Baas,22.0,MF,Sparta R'dam,nl NED,13.0,850.0,58,23,29,26,6,18,0,29,40,18,64,17,19,6,14,0,0,7,33,7,8,20,11,13,15,12,14,6,8,0,8,8,12,15,1,0,9,0,18,0,18,0,3,12,0,9,10,52,1,DLP/APM,38,22,38,18,13,34,25,10,DLP,APM,17.2
Kees Smit,18.0,MF,AZ Alkmaar,nl NED,18.0,989.0,79,14,38,26,29,29,24,12,3,46,0,26,34,17,24,12,33,7,11,15,14,5,12,16,21,20,12,38,14,18,2,22,21,22,15,23,38,0,0,7,32,18,23,25,0,16,16,32,1,APM/CAM,54,31,42,24,34,54,54,37,APM,CAM,30.4
Kenneth Taylor,22.0,MF,Ajax,nl NED,33.0,2447.0,61,48,57,49,92,79,41,18,40,84,41,63,84,58,60,44,25,20,11,25,22,34,29,38,41,27,28,31,22,32,21,37,67,70,53,29,47,37,55,47,82,77,50,38,0,79,79,70,0,APM/BoxCrasher,89,59,71,63,78,89,83,87,APM,BoxCrasher,83.0
